country,Count,Min,Q1,Median,Mean,Q3,Max,SD
France,959,1,8508,16133,16867.486965589156,24946.5,33466,8913.487579883069
Poland,729,271,1929,5913,9756.670781893004,17154,34864,9093.219656638903
Spain,445,1640,4779,8401,9587.58426966292,11754,32023,6332.443911128612
Romania,581,291,1440,3277,5487.764199655766,8656,20951,5372.10631565647
Bulgaria,910,132,727,2010,3014.1384615384613,5188,10649,2706.8898667814915
Hungary,779,0,262.5,1648,2830.9075738125803,4833,12553,3067.249325681517
Czechia,946,0,128,890.5,2175.235729386892,3911.25,9551,2581.8327726764132
Belgium,932,130,703.75,1749.5,1891.9302575107297,2685.5,7461,1469.0575438342737
Portugal,746,0,406.25,682,1230.323056300268,1394,6869,1354.8896887381281
Slovakia,941,1,101,557,1103.3475026567482,1970,3957,1146.6390588328557
Austria,915,52,314,856,1067.35956284153,1567,3985,905.6465881150109
Sweden,744,1,245,797,1029.9260752688172,1751.75,3004,835.9690317135183
Netherlands,892,1,419.75,983.5,1015.3878923766816,1558.25,3284,685.2099465999153
Croatia,859,4,245,638,933.091967403958,1682,2976,815.1723484838069
Lithuania,478,44,164,762.5,796.3661087866109,1160.75,2571,647.6814914143184
Latvia,759,2,40.5,412,438.02108036890644,716.5,1452,391.7668718471886
Ireland,937,6,163,315,429.49519743863397,610,2020,385.2422068469555
Slovenia,937,5,60,188,374.26894343649946,584,1324,387.515365322954
Denmark,858,9,103,221.5,358.8729603729604,453.5,1762,381.1344595513553
Finland,746,0,104,235,330.92627345844505,588,1084,277.45556012754827
Estonia,954,1,42,135,208.96540880503144,326.5,733,199.02337062535972
Norway,642,0,36,110,141.59345794392524,219.75,638,126.47515151560201
Cyprus,790,0,28.25,89,104.93417721518988,173,301,84.7061167027704
Luxembourg,931,0,19,35,59.089151450053706,79,247,56.50865002230813
Malta,690,0,6,22,34.03188405797101,60,140,33.19418388890438
Iceland,656,0,4,17,21.036585365853657,32,100,20.77054292407015
